種种,149755
於于,146717
後后,97332
與与,86049
裡里,77923
齣出,71383
當噹,67772
衕同,59204
離离,58445
捨舍,57575
麼幺麽么,54231
隻只,29987
併並并,29964
麵面,29687
曏向,29334
體体,28041
勝胜,27242
盡儘,25743
髮發,25154
註注,23609
聽听,23506
聖圣,22508
錶表,22101
穫獲,20344
確确,19276
觸触,19106
製制,18473
餘余,17166
願愿,15728
適适,15267
據据,14569
異异,14518
複復覆复,12601
壞坏,12333
繫係系,10239
徵征,9692
兒儿,9208
優优,9147
鬚須,8732
極极,8617
緻致,7978
懷怀,7470
萬万,7366
莊庄,7022
氣气,6198
範范,5924
準准,5741
屍尸,4647
機机,4284
幹乾干,4271
構构,3969
擾扰,2870
雲云,2803
穀谷,2667
禦御,2626
塗涂,2587
幾几,2579
網网,2542
劃划,2535
採埰采,2502
睏困,2299
驚惊,2205
價价,2139
歷曆,1991
麯曲,1982
纍累,1948
誌志,1890
豐丰,1844
懺忏,1821
潔洁,1767
趕赶,1724
鬥斗,1708
憐怜,1614
蕩盪,1561
衝沖,1367
剋克,1312
棲栖,1264
僞偽,1206
寧宁,1178
髒臟,1118
闆板,1091
蟲虫,1080
僕仆,1070
彙匯,1070
闢辟,1054
掛挂,1029
鬆松,1025
醜丑,753
鬍衚胡,748
颱臺檯台,705
鉤鈎,692
築筑,678
閒閑,660
灑洒,635
鬱郁,562
慄栗,493
鹹咸,484
誇夸,430
曬晒,421
臘腊,401
踴踊,398
桿杆,386
鱷鰐,378
傭佣,339
餚肴,337
窪洼,312
姦奸,291
颳刮,271
韁繮,252
罈壇,249
傑杰,244
濘泞,235
黨党,202
釐厘,199
鐘鍾,192
癢痒,145
樸朴,145
簾帘,135
撲扑,132
籬篱,113
嶺岭,112
輓挽,63
鏽銹,63
蠶蚕,60
澱淀,59
蘋苹,58
癥症,56
骯肮,49
蠟蜡,39
蕓芸,36
薦荐,35
繭茧,29
灕漓,23
櫃柜,15
蟣虮,12
廠厂,6
縧絛,4
贗贋,2
瀋沈,1
